Business_Area,Country_Desc,Company_Nam,Cust_ID,Material_ID,month,Year,Quantity,Revenue
BA-E Service,Puerto Rico,6500 - ATT,1684,1184,10,2016,4,1131.95
BA-E Service,United States,6500 - ATT,3175,253,6,2015,1,2073.06
NULL,NULL,PL10 - ATT,2442,4594,10,2015,0,0
BA-E New Machines,Australia,AU10 - ATT,3476,3480,2,2016,1,79.52
BA-E Service,United States,6500 - ATT,2308,298,8,2016,1,87.69
BA-E Service,United States,US10 - ATT,750,2924,12,2016,6,393.97
BA-E New Machines,Germany,DE10 - ATT,377,4348,4,2016,15,8193.6
BA-E Service,United States,US10 - ATT,1604,4999,2,2015,12,1848.21
BA-E Service,Romania,4500 - ATT,418,923,11,2016,8,139.6
BA-E Service,Italy,DE12 - ATT,515,3872,5,2016,1,156.54
BA-E New Machines,Luxembourg,DE10 - ATT,377,5713,10,2015,1,0
BA-E Service,Switzerland,DE10 - ATT,408,4888,2,2015,1,11.98
NULL,Brazil,NULL,376,6275,10,2016,14000,2646
BA-E New Machines,Russian Federation,RU01 - LLCÃ,2481,2653,12,2016,14,437.96
BA-E Service,Thailand,8100 - ATT,418,896,9,2016,6,51.5
BA-E Service,Germany,4500 - ATT,2729,403,6,2016,4,0
BA-E Service,Brazil,BR10 - ATT,201,3715,6,2015,80,374.84
BA-E Service,Italy,2900 - ATT,1945,1013,6,2016,2,1.04
BA-E Service,Germany,4500 - ATT,382,571,11,2016,70,74.67
NULL,United States,NULL,388,6275,6,2016,1000,51872.78
BA-E Service,Japan,8700 - ATT,3248,785,6,2015,1,0.06
BA-E New Machines,Netherlands,NL10 - ATT,2083,4220,3,2015,1,295.19
BA-E Service,Germany,DE15 - ATT,2931,3737,7,2016,50,80.88
BA-E Service,Germany,DE10 - ATT,377,5147,1,2016,1,201.69
NULL,Netherlands,NULL,398,6275,1,2017,1000,0
NULL,Germany,NULL,1426,6275,8,2016,0,380
BA-E Service,Switzerland,CH10 - ATT,2648,3834,1,2016,8,96.36
BA-E Service,United States,4500 - ATT,388,837,10,2015,8,27.36
BA-E Service,Netherlands,4500 - ATT,418,723,4,2015,15,324.79
NULL,Germany,NULL,342,6275,3,2016,0,318995.68
BA-E Service,Germany,DE15 - ATT,1258,4643,4,2015,1,598
NULL,France,NULL,398,6275,1,2014,32000,0
BA-E Service,France,DE10 - ATT,377,443,11,2016,9,0.93
BA-E Service,Germany,4900 - ATT,1931,765,3,2015,2,109.26
BA-E New Machines,China,8800 - ATT,418,6096,6,2017,0,178.21
BA-E New Machines,United States,6500 - ATT,1172,619,2,2016,1,0
BA-E New Machines,New Zealand,NZ10 - ATT,2561,4073,12,2016,1,103.18
NULL,United Kingdom,NULL,398,6275,11,2015,2000,0
BA-E Service,Netherlands,7500 - ATT,1087,2729,2,2015,0,3197.21
BA-E Service,Israel,4500 - ATT,752,805,8,2016,1,29.88
BA-E Service,Japan,8700 - ATT,1929,1043,1,2015,1,2.65
BA-E Service,Turkey,9000 - WS T,3149,974,11,2016,1,118.89
BA-E Service,France,1310 - ATT,2888,6140,1,2016,1000,8659
BA-E New Machines,Germany,DE15 - ATT,2156,5185,11,2015,0,0
NULL,NULL,RU10 - Wila,2442,6275,4,2015,0,0
BA-E Service,Netherlands,7500 - ATT,1383,925,9,2015,8,130.56
BA-E New Machines,Germany,DE15 - ATT,1530,5715,1,2015,0,0
BA-E Service,Germany,DE10 - ATT,377,4059,4,2015,20,7.2
BA-E Service,Germany,NL50 - Roya,377,3218,8,2015,0,-65.76
BA-E Service,Denmark,DK15 - ATT,980,4362,2,2015,20,277.65
NULL,Germany,NULL,667,6275,11,2016,2000,7118.68
NULL,NULL,RU10 - Wila,2442,6275,2,2016,0,0
BA-E New Machines,New Zealand,NZ30 - ATT,377,5526,2,2015,3,12.39
BA-E Service,United States,4500 - ATT,388,1068,8,2016,9,1100.81
BA-E New Machines,France,FR50 - ATT,1659,1483,8,2016,1,10.61
BA-E Service,Denmark,DK15 - ATT,3134,3185,9,2015,4,665.68
NULL,South Africa,NULL,398,6275,7,2014,2000,11872
NULL,Poland,NULL,415,6275,5,2014,5000,5530
NULL,Japan,8700 - ATT,2417,1171,11,2016,0,0.85
BA-E Service,France,FR50 - ATT,2955,3754,5,2016,60,777
BA-E Service,Netherlands,7500 - ATT,1365,208,6,2015,0,37.04
BA-E New Machines,United States,CA50 - ATT,377,2173,7,2015,2,6156.07
BA-E Service,Switzerland,4500 - ATT,383,1287,3,2016,1,169.19
BA-E New Machines,United States,US10 - ATT,807,3109,12,2015,4,33.49
BA-E New Machines,Spain,6700 - ATT,2281,2715,3,2016,12,0
BA-E Service,Chile,5600 - ATT,2559,702,6,2016,1,0.06
BA-E Service,France,4500 - ATT,419,339,7,2016,1,23.07
BA-E Service,New Zealand,NZ10 - ATT,2169,5444,10,2016,84,117.5
BA-E Service,United Kingdom,2900 - ATT,2297,5721,5,2016,10,138.66
BA-E New Machines,Canada,CA50 - ATT,1193,2299,2,2015,2,0
NULL,NULL,NL50 - Roya,2442,3194,7,2015,0,0
BA-E Service,Netherlands,NL10 - ATT,1747,6275,7,2016,1,37.44
BA-E Service,Hungary,DE10 - ATT,362,4804,5,2016,2,187.47
NULL,NULL,DE10 - ATT,2442,5252,10,2016,0,0
BA-E Service,Hungary,4500 - ATT,365,1375,11,2016,6,271.43
BA-E New Machines,United States,US50 - ATT,2726,2308,6,2017,1,0
BA-E New Machines,Germany,DE15 - ATT,2813,3219,8,2016,34,112.56
BA-E Service,Croatia,AT10 - ATT,377,3932,11,2015,2,20.42
BA-E Service,Germany,DE10 - ATT,377,3977,10,2016,10,117.4
BA-E Service,Italy,2900 - ATT,2834,1095,3,2015,4,21.92
BA-E Service,Cyprus,4500 - ATT,2325,1013,11,2015,14,8.12
BA-E Service,Argentina,AR10 - ATT,3266,2551,4,2015,1,17.1
BA-E New Machines,United Kingdom,1210 - ATT,1013,6211,7,2016,0,0
BA-E Service,Austria,6300 - ATT,1464,454,1,2016,1,224.38
BA-E Service,United States,6500 - ATT,3379,1246,12,2015,-1,55.93
BA-E Service,New Zealand,NZ10 - ATT,2112,3728,5,2015,54,556.81
BA-E Service,Spain,NL50 - Roya,377,3176,10,2016,2,39.92
NULL,Netherlands,NULL,398,6275,1,2017,1000,70
BA-E Service,Germany,DE15 - ATT,3457,3384,9,2016,8,3.93
BA-E Service,France,FR50 - ATT,1277,4293,10,2016,6,103.19
BA-E Service,United States,US10 - ATT,377,3962,6,2015,0,-83.03
NULL,NULL,DE10 - ATT,2442,3863,3,2015,0,0
BA-E Service,Germany,2010 - ATT,1331,1853,2,2016,2000,14055
BA-E Service,United States,US10 - ATT,1386,4937,4,2015,1,968.47
BA-E Service,Argentina,AR10 - ATT,1148,2560,1,2016,3,116.18
BA-E New Machines,Iraq,4500 - ATT,2972,5990,4,2015,1,46199.63
BA-E Service,United States,US10 - ATT,1321,4890,1,2016,2,51.32
BA-E Service,Germany,4500 - ATT,382,567,12,2015,1,0.36
BA-E Service,Indonesia,4500 - ATT,418,249,6,2016,443,1364.44
NULL,Israel,NULL,3251,6275,12,2015,5000,11025
BA-E Service,Portugal,4500 - ATT,418,1386,7,2015,4,47.84
BA-E Service,France,FR50 - ATT,906,3308,2,2015,0,-53.26
BA-E New Machines,Switzerland,DE10 - ATT,408,4390,1,2016,4,17.04
NULL,Canada,NULL,388,6275,2,2015,50000,3675
BA-E Service,United Kingdom,4500 - ATT,388,5350,3,2016,1,452.69
BA-E Service,Turkey,4500 - ATT,418,752,9,2016,1,20.85
BA-E Service,United States,US10 - ATT,1652,2851,5,2015,1,28.86
BA-E New Machines,United Kingdom,UK01 - ATT,369,3910,3,2016,1,214.72
BA-E Service,Germany,4500 - ATT,382,645,11,2016,10,72.92
BA-E Service,United States,US20 - ATT,2774,2901,7,2016,1,118.77
BA-E Service,Germany,4500 - ATT,382,5324,2,2015,1,120.52
NULL,Austria,NULL,2106,6275,6,2015,3000,2027
BA-E Service,France,4500 - ATT,419,768,2,2015,1,48
BA-E New Machines,Netherlands,1010 -ATT,2056,6203,3,2016,1000,677651
BA-E New Machines,Canada,CA50 - ATT,1199,1955,4,2015,3,167.25
BA-E Service,United States,US10 - ATT,1537,4951,8,2016,2,255.8
BA-E Service,Italy,4500 - ATT,388,1049,11,2016,1,32.23
BA-E Service,United States,6500 - ATT,317,828,4,2015,1,159.85
BA-E Service,Colombia,US10 - ATT,1060,4874,6,2016,9,704.27
NULL,India,NULL,1615,6275,12,2016,1000,0
BA-E Service,Germany,DE10 - ATT,377,2384,2,2016,2,-39.02
BA-E Service,Belgium,BE10 - ATT,3360,1726,2,2015,1,6.76
BA-E Service,Costa Rica,DE12 - ATT,3392,4510,12,2016,12,213.63
BA-E New Machines,France,DE10 - ATT,377,3517,6,2015,54,823.83
NULL,Ireland,NULL,401,6275,4,2014,4000,0
BA-E Service,United States,6500 - ATT,3073,1263,5,2016,0,2406.64
BA-E New Machines,Canada,CA10 - ATT,954,3135,1,2016,10,299.48
BA-E Service,Germany,4900 - ATT,1846,990,11,2015,7,988.65
BA-E Service,United States,US10 - ATT,1076,2971,4,2015,2,181.91
BA-E Service,Germany,4500 - ATT,1549,1642,3,2016,94,1736.18
BA-E Service,Croatia,4500 - ATT,367,792,4,2016,4,25.96
BA-E Service,Germany,4500 - ATT,382,1770,1,2015,3,108.15
BA-E Service,New Zealand,NZ20 - Farm,1276,2671,3,2016,1,109.23
BA-E Service,Germany,4900 - ATT,3326,5647,3,2016,0,5773
BA-E Service,Canada,4500 - ATT,2944,1490,5,2015,2,28.76
BA-E Service,New Zealand,NZ10 - ATT,2103,3661,2,2015,10,268.61
NULL,Germany,NULL,370,6275,4,2014,0,16482
BA-E New Machines,Canada,CA10 - ATT,954,3063,7,2015,0,-45.14
BA-E Service,Finland,DK15 - ATT,2211,3363,4,2016,36.95,0
BA-E New Machines,Turkey,4500 - ATT,418,5924,10,2016,0,0
BA-E Service,Serbia,4500 - ATT,365,1187,12,2016,1,1.71
BA-E New Machines,Belgium,BE10 - ATT,3362,5710,10,2016,0,14570
BA-E Service,Belgium,7000 - ATT,711,673,10,2016,0,11.05
NULL,NULL,DK10 - ATT,2442,3413,6,2015,0,0
BA-E Service,Germany,DE15 - ATT,1986,3826,9,2016,100,804
BA-E Service,Switzerland,DE10 - ATT,408,4299,12,2015,5,68.75
BA-E Service,United States,3010 - ATT,2554,6284,1,2016,1000,14293
NULL,United States,NULL,829,6275,4,2016,0,119400.07
BA-E Service,India,8300 - ATT,2829,951,3,2015,3,38.84
BA-E Service,Netherlands,DE10 - ATT,377,5148,11,2015,1,5.03
BA-E Service,Switzerland,CH10 - ATT,3180,4890,8,2015,3,110.09
BA-E New Machines,United Kingdom,1210 - ATT,3054,6268,12,2016,2000,11404
BA-E Service,Indonesia,8100 - ATT,2663,905,9,2015,2,13.27
BA-E Service,France,FR50 - ATT,781,3822,6,2015,40,532.16
BA-E New Machines,United States,US10 - ATT,3101,2896,11,2015,1,1613.25
NULL,NULL,FR20 - ATT,2442,6275,6,2015,0,0
BA-E Service,New Zealand,4500 - ATT,418,950,3,2015,14,80.64
BA-E New Machines,France,DE10 - ATT,377,371,11,2015,54,35.1
BA-E New Machines,United States,US45 - San,904,5684,7,2015,0,23.31
NULL,Spain,6100 - ATT,2686,2712,2,2016,2,3.68
BA-E New Machines,France,FR50 - ATT,1326,4352,9,2015,0,-310.85
BA-E Service,France,FR50 - ATT,1105,3497,11,2016,2,5.46
BA-E Service,France,FR50 - ATT,1326,2590,5,2015,56,769.35
BA-E Service,Austria,4500 - ATT,365,1731,11,2015,3,4.98
BA-E New Machines,Spain,DE10 - ATT,171,4280,12,2015,0,0
BA-E Service,United States,US50 - ATT,2376,2169,6,2016,2,0
BA-E Service,Korea,4500 - ATT,386,976,10,2015,20,62.71
BA-E New Machines,United Kingdom,4500 - ATT,3128,5913,11,2015,0,0
BA-E Service,Germany,DE10 - ATT,377,1465,10,2015,20,22.75
BA-E Service,Belgium,8500 - ATT,284,1172,3,2016,2,236.83
BA-E Service,Greece,4500 - ATT,418,936,10,2015,2,45.95
BA-E Service,Switzerland,4900 - ATT,2396,6108,11,2016,10,101.18
BA-E New Machines,Germany,DE10 - ATT,377,5237,10,2016,1,0
BA-E Service,Germany,4900 - ATT,418,1684,2,2015,2,38.1
BA-E New Machines,Italy,DE12 - ATT,515,3792,3,2015,20,1381.6
BA-E New Machines,Finland,DE10 - ATT,377,4654,9,2016,2,107.32
BA-E Service,Mexico,5200 - ATT,2371,483,4,2016,2,19.95
BA-E Service,Israel,4500 - ATT,48,240,12,2015,2,477.26
BA-E Service,Poland,PL10 - ATT,219,379,4,2015,1,135.04
BA-E Service,United States,6500 - ATT,820,813,4,2015,2,144.58
BA-E Service,Netherlands,7500 - ATT,987,2196,9,2016,1,174.3
BA-E New Machines,New Zealand,NZ10 - ATT,2251,5459,5,2015,2,62.19
BA-E New Machines,China,CN01 - ATT,3215,359,1,2015,100,0
NULL,Germany,4500 - ATT,1591,2457,3,2015,2,235.46
BA-E New Machines,France,FR50 - ATT,736,3794,12,2015,56,855.21
BA-E Service,Argentina,AR10 - ATT,1433,2576,6,2016,2,517.69
BA-E Service,United States,US10 - ATT,2763,4773,7,2016,1,41.14
BA-E Service,New Zealand,NZ30 - ATT,377,2660,12,2015,50,184.82
BA-E Service,Germany,DE15 - ATT,1106,3930,3,2015,9,392.09
NULL,NULL,DE10 - ATT,2442,5306,12,2016,0,0
BA-E Service,France,FR50 - ATT,775,4531,11,2015,1,188.65
BA-E Service,Japan,8700 - ATT,849,803,9,2015,0,0.29
BA-E Service,France,9300 - ATT,1016,884,7,2015,1,13.79
BA-E Service,China,4500 - ATT,418,1743,1,2016,9,292.55
BA-E Service,United States,US10 - ATT,2950,2950,12,2015,8,46.62
NULL,NULL,FR20 - ATT,2442,2448,6,2015,0,0
BA-E Service,United States,6500 - ATT,2607,2469,10,2016,0,1764.91
BA-E Service,Argentina,5400 - ATT,2675,1149,8,2016,1,0
BA-E Service,Russian Federation,6200 - ATT,2453,924,4,2015,1,49.56
BA-E Service,Canada,CA10 - ATT,1205,4577,1,2015,1,98.71
BA-E Service,New Zealand,NZ30 - ATT,377,5490,12,2015,3,3.8
BA-E Service,France,9300 - ATT,999,236,1,2016,1,17.39
BA-E Service,Germany,4500 - ATT,418,952,6,2016,6,0
NULL,Germany,NULL,414,6275,1,2015,360000,1223800.22
BA-E Service,United States,US43 - ATT,2782,5655,6,2015,0,73
BA-E Service,United States,3010 - ATT,3087,6292,12,2016,3000,63000
BA-E Service,Thailand,4500 - ATT,418,1120,9,2016,2,26.62
BA-E Service,Argentina,AR10 - ATT,279,2554,11,2015,1,27.2
BA-E Service,United States,US10 - ATT,985,4799,1,2016,1,43.97
NULL,NULL,DE10 - ATT,2442,4267,2,2015,0,0
BA-E Service,Greece,4500 - ATT,2128,902,8,2015,16,21.16
BA-E Service,New Zealand,NZ10 - ATT,1271,5509,6,2015,60,0
BA-E Service,Hungary,DE10 - ATT,362,431,10,2016,1,53.66
BA-E Service,Austria,DE10 - ATT,362,5262,12,2016,4,32.17
NULL,United States,NULL,388,6275,8,2015,8000,524
BA-E Service,Germany,DE15 - ATT,2805,4722,11,2015,1,72.01
BA-E Service,Germany,DE10 - ATT,377,2402,3,2015,80,926.13
BA-E Service,United States,US10 - ATT,3101,4749,4,2015,0,-172.14
BA-E New Machines,Russian Federation,DE10 - ATT,2055,4796,6,2016,52,1011.92
NULL,NULL,FR20 - ATT,2442,6275,5,2015,0,0
BA-E Service,United States,US20 - ATT,728,2856,2,2015,18,444.99
BA-E Service,Colombia,2900 - ATT,360,5779,10,2016,3,232.68
NULL,Belgium,NULL,398,6275,11,2016,2000,17920
BA-E Service,Mexico,5200 - ATT,2841,633,1,2015,2,9.34
BA-E Service,Germany,4900 - ATT,1623,191,11,2016,5,346.52
BA-E Service,Ireland,2900 - ATT,3322,5820,1,2015,10,74.15
BA-E Service,France,4500 - ATT,419,69,11,2015,-1,-33.92
BA-E New Machines,Germany,DE15 - ATT,2967,1535,4,2016,0,0
BA-E Service,Germany,8800 - ATT,418,849,6,2016,1,1.86
BA-E Service,Croatia,6360 - ATT,3296,1699,9,2016,9,552.14
BA-E Service,Italy,2900 - ATT,1355,1592,12,2015,0,103.2
BA-E Service,United States,6500 - ATT,2257,5615,9,2016,0,57.62
BA-E Service,France,FR50 - ATT,1333,3740,10,2016,100,246.78
BA-E New Machines,France,FR50 - ATT,2957,3948,2,2015,8,1179.49
BA-E Service,Canada,CA10 - ATT,869,4870,10,2015,0,0
BA-E New Machines,Austria,AT10 - ATT,522,3501,7,2016,1,0
BA-E Service,Cameroon,4500 - ATT,419,1459,9,2016,1,445.72
BA-E Service,Germany,CA50 - ATT,377,2131,5,2015,1,124.74
BA-E Service,Germany,DE15 - ATT,486,4625,2,2016,3,172.14
BA-E Service,Germany,DE15 - ATT,3496,189,4,2016,10,8.02
BA-E Service,United States,6500 - ATT,1006,5619,12,2016,0,1716.66
BA-E New Machines,United States,US10 - ATT,577,2962,3,2015,0,0
BA-E Service,Italy,2900 - ATT,2833,1016,11,2015,0,6.56
NULL,Germany,NULL,364,6275,4,2015,10000,1235
BA-E Service,Turkey,TR10 - ATT,1585,4592,4,2015,40,740.23
BA-E New Machines,Germany,DE15 - ATT,2070,3590,6,2016,12,17.79
BA-E Service,New Zealand,NZ10 - ATT,969,5540,4,2015,3,67.12
BA-E Service,United States,US20 - ATT,1083,4956,8,2015,1,680.45
BA-E Service,NULL,2010 - ATT,2442,18,6,2016,0,2844
BA-E Service,United States,6500 - ATT,3138,5634,8,2015,0,973.36
BA-E Service,United States,3010 - ATT,3220,6147,2,2016,1000,3122
BA-E Service,Germany,4900 - ATT,3499,877,8,2015,1,5.34
BA-E Service,France,9300 - ATT,2389,223,3,2016,1,247.7
NULL,Germany,NULL,414,6275,1,2016,2.00E+05,193142.36
BA-E New Machines,Belgium,1010 -ATT,825,6270,1,2016,10000,795650
BA-E New Machines,New Zealand,NZ10 - ATT,828,1457,7,2016,1,19.18
BA-E New Machines,Turkey,9000 - WS T,35,5567,3,2015,0,35.49
BA-E Service,Austria,6300 - ATT,3434,447,3,2015,0,28.83
BA-E New Machines,China,4500 - ATT,418,98,6,2016,4,84.36
NULL,Singapore,NULL,398,6275,11,2015,20000,16590
BA-E Service,France,FR50 - ATT,132,4069,6,2016,4,120.87
BA-E Service,Argentina,AR10 - ATT,1940,2546,8,2015,20,242.77
BA-E Service,United States,US10 - ATT,19,4757,3,2015,1,90.8
BA-E Service,United States,6500 - ATT,1121,813,6,2016,3,234.92
BA-E Service,Argentina,5400 - ATT,917,1352,10,2016,2,0
BA-E New Machines,New Zealand,NZ10 - ATT,296,5484,5,2016,2,78.83
BA-E New Machines,Netherlands,NL10 - ATT,244,3549,8,2015,29,911.89
BA-E New Machines,United States,US10 - ATT,1604,5587,3,2016,0,0
BA-E Service,Netherlands,7500 - ATT,1581,202,12,2016,0,67.5
NULL,Netherlands,NULL,398,6275,2,2017,12000,0
BA-E Service,Chile,5600 - ATT,2641,241,5,2016,4,15.32
BA-E New Machines,Germany,4900 - ATT,410,6065,11,2016,1,49000
BA-E Service,New Zealand,NZ10 - ATT,2103,3693,2,2015,7,12.56
NULL,Denmark,NULL,1099,6275,5,2015,0,124440
BA-E New Machines,Canada,US10 - ATT,377,5173,4,2016,2,649.42
BA-E New Machines,United States,US50 - ATT,3564,1973,9,2015,4,0
BA-E Service,Germany,DE15 - ATT,3444,4191,1,2016,5,20.85
BA-E Service,Turkey,4500 - ATT,418,1185,4,2015,1,19.9
BA-E Service,Poland,PL10 - ATT,338,2596,6,2016,6,5.29
BA-E New Machines,Russian Federation,9400 - ATT,418,6093,5,2017,1,5900
BA-E Service,United States,US20 - ATT,1302,5052,8,2015,2,0
BA-E New Machines,United States,US45 - San,2816,5688,2,2016,0,7.33
BA-E Service,Australia,AU10 - ATT,3476,2692,12,2016,2,47.03
BA-E New Machines,United States,US10 - ATT,1924,3079,12,2016,18,146.33
BA-E Service,Argentina,AR10 - ATT,3131,2552,10,2016,1,49.08
BA-E Service,United States,4500 - ATT,388,838,1,2015,10,1061.4
BA-E Service,United States,4500 - ATT,388,642,3,2015,21,43.32
BA-E Service,Canada,CA10 - ATT,232,4090,7,2016,24,789.49
NULL,Denmark,NULL,1056,6275,5,2016,2000,11483
NULL,China,NULL,398,6275,8,2014,0,3249.55
BA-E Service,Turkey,4500 - ATT,418,1753,7,2015,1,4.37
BA-E Service,Belgium,BE10 - ATT,3265,1745,3,2016,3.5,3.71
BA-E New Machines,Germany,DE10 - ATT,377,3991,5,2015,3,5321.37
BA-E New Machines,Canada,CA10 - ATT,232,4433,12,2016,2,668.81
BA-E Service,United Kingdom,DE10 - ATT,377,4331,12,2016,239,4507.86
BA-E Service,Spain,6700 - ATT,2906,1388,3,2016,1,38.6
BA-E New Machines,France,FR50 - ATT,1163,1566,9,2015,1,0
BA-E Service,Netherlands,7500 - ATT,398,513,8,2016,0,264.81
BA-E Service,Benin,4900 - ATT,2836,5634,12,2016,0,5250
BA-E New Machines,Germany,DE10 - ATT,377,5711,12,2016,1,-97741.66
NULL,China,NULL,398,6275,7,2016,3000,4406.91
BA-E Service,France,DE10 - ATT,377,5145,6,2015,2,0.4
BA-E New Machines,Canada,CA50 - ATT,1203,2300,1,2015,1146,7873.86
BA-E Service,Germany,4900 - ATT,480,826,3,2016,7,89.64
BA-E Service,Argentina,DE10 - ATT,377,3653,8,2015,4,180.4
BA-E Service,Canada,6600 - ATT,212,5599,12,2015,0,1540
BA-E Service,Germany,2010 - ATT,2616,1873,3,2016,1000,106028
NULL,China,NULL,412,6275,8,2015,3000,48900
BA-E Service,China,8500 - ATT,934,1279,7,2016,2,281.1
BA-E New Machines,United States,US32 - ATT,1313,3093,6,2015,2,112.14
BA-E Service,Netherlands,7500 - ATT,1269,636,5,2015,0,40.88
BA-E Service,Canada,CA10 - ATT,2035,2678,2,2015,1,139.55
BA-E Service,China,8800 - ATT,1989,2479,8,2016,8,1720.87
BA-E Service,Netherlands,7500 - ATT,1581,1039,12,2015,0,37.86
BA-E New Machines,Spain,DE10 - ATT,377,3988,7,2015,1,360.53
BA-E New Machines,France,FR50 - ATT,2444,3634,12,2015,10,17.7
BA-E Service,United States,6500 - ATT,628,6051,1,2016,1,23826.92
BA-E Service,Canada,CA10 - ATT,3277,2504,8,2016,6,334.81
BA-E New Machines,Germany,DE15 - ATT,2192,4051,10,2016,14,169.51
BA-E Service,Germany,4900 - ATT,1691,5645,8,2015,3,0
BA-E New Machines,Germany,8800 - ATT,418,5963,7,2015,1,6868.23
BA-E New Machines,Germany,DE15 - ATT,1106,4844,4,2015,0,0
BA-E Service,Canada,CA10 - ATT,1205,4877,5,2015,2,28.64
BA-E New Machines,United States,US20 - ATT,680,2884,8,2016,1,223.45
BA-E Service,France,FR50 - ATT,463,3938,3,2015,2,123.14
BA-E Service,Germany,DE10 - ATT,377,1536,3,2015,4,237.64
BA-E New Machines,Russian Federation,CA50 - ATT,2055,2100,8,2016,10,2299.67
BA-E Service,Brazil,DE10 - ATT,376,1724,10,2015,100,14
BA-E Service,Cambodia,8100 - ATT,686,1373,5,2015,40,2285.64
BA-E Service,United Kingdom,4500 - ATT,388,278,4,2016,1,4.12
BA-E Service,Denmark,7100 - ATT,324,1299,9,2015,1,87.45
BA-E Service,United States,US10 - ATT,2311,5121,1,2016,4,3867
BA-E New Machines,Denmark,4500 - ATT,418,5683,9,2016,0,0
BA-E Service,Germany,DE15 - ATT,1345,5243,5,2015,2,86.51
BA-E New Machines,United Kingdom,4500 - ATT,3128,5959,4,2015,1,9072.12
BA-E New Machines,Germany,NL50 - Roya,377,3375,6,2016,1,1626.9
BA-E Service,Denmark,7100 - ATT,1104,726,10,2015,1,145.11
BA-E Service,Japan,8700 - ATT,2959,900,2,2015,1,0.11
BA-E Service,China,2900 - ATT,398,5866,12,2016,1,1.31
BA-E Service,United States,6500 - ATT,3121,1160,10,2016,0,1723.04
BA-E Service,United States,US10 - ATT,2627,2977,7,2016,10,0.18
BA-E Service,United States,US10 - ATT,1451,2885,6,2016,3,121.51
BA-E Service,Ireland,2900 - ATT,2114,5764,6,2016,12,496.41
BA-E Service,Spain,DE10 - ATT,377,3931,7,2015,4,113.88
BA-E Service,Portugal,6800 - ATT,1374,335,11,2016,1,8.57
BA-E Service,Germany,DE15 - ATT,3457,1511,8,2016,0,0
BA-E Service,Switzerland,4500 - ATT,419,1700,3,2015,6,23.58
BA-E Service,Netherlands,1010 -ATT,630,6152,9,2016,4000,17559
BA-E Service,Germany,4500 - ATT,419,1147,5,2015,1,0
BA-E Service,Germany,DE15 - ATT,1988,3559,2,2015,5,113.75
